feature,importance
search_position=scheduler maintenance,0.000000
search_position=screen operator,0.000000
search_position=second,0.000000
search_position=software engineer,0.000000
search_position=special effects specialist,0.000000
search_position=stand-in,0.000000
search_position=storekeeper,0.000000
search_position=superintendent local,0.000000
search_position=superintendent service,0.000000
search_position=supervisor line,0.000000
search_position=supervisor mill,0.000000
search_position=supervisor picking,0.000000
search_position=supply clerk,0.000000
search_position=surgeon,0.000000
search_position=teacher secondary school,0.000000
search_position=technical operator,0.000000
search_position=transplant coordinator,0.000000
search_position=tutor,0.000000
search_position=vendor,0.000000
search_position=veterinarian laboratory animal care,0.000000
search_position=vocational rehabilitation consultant,0.000000
search_position=accountant property,0.000000
search_position=accountant tax,0.000000
search_position=accounting clerk,0.000000
search_position=actuary,0.000000
search_position=administrative clerk,0.000000
search_position=admitting officer,0.000000
search_position=agricultural-research engineer,0.000000
search_position=air analyst,0.000000
search_position=air-conditioning mechanic,0.000000
search_position=applications engineer manufacturing,0.000000
search_position=archeologist,0.000000
search_position=archivist,0.000000
search_position=art therapist,0.000000
search_position=assembler unit,0.000000
search_position=assistant construction superintendent,0.000000
search_position=audiovisual production specialist,0.000000
search_position=audit clerk,0.000000
search_position=automobile mechanic,0.000000
search_position=automotive engineer,0.000000
search_position=baggage handler,0.000000
search_position=balance assembler,0.000000
search_position=bartender,0.000000
search_position=billing clerk,0.000000
search_position=blending supervisor,0.000000
search_position=blood-donor recruiter,0.000000
search_position=bookkeeper,0.000000
search_position=bookmobile driver,0.000000
search_position=bursar,0.000000
search_position=butler,0.000000
search_position=buyer,0.000000
search_position=caption writer,0.000000
search_position=car inspector,0.000000
search_position=cardiac monitor technician,0.000000
search_position=cardiologist,0.000000
search_position=career-guidance technician,0.000000
search_position=carpenter,0.000000
search_position=cement mason,0.000000
search_position=ceramic engineer,0.000000
search_position=change person,0.000000
search_position=charter,0.000000
search_position=chemist,0.000000
search_position=child-care attendant school,0.000000
search_position=chiropractor,0.000000
search_position=chiropractor assistant,0.000000
search_position=christian science nurse,0.000000
search_position=civil engineering technician,0.000000
search_position=cleaner,0.000000
search_position=clinical therapist,0.000000
search_position=coach driver,0.000000
search_position=communication-center coordinator,0.000000
search_position=companion,0.000000
search_position=compressor,0.000000
search_position=computer operator,0.000000
search_position=computer systems hardware analyst,0.000000
search_position=conductor,0.000000
search_position=consultant education,0.000000
search_position=container coordinator,0.000000
search_position=contract specialist,0.000000
search_position=controls designer,0.000000
search_position=cooper,0.000000
search_position=coordinator of rehabilitation services,0.000000
search_position=cost-and-sales-record supervisor,0.000000
search_position=counselor,0.000000
search_position=court clerk,0.000000
search_position=creative director,0.000000
search_position=credit counselor,0.000000
search_position=credit-card clerk,0.000000
search_position=critic,0.000000
search_position=customer-equipment engineer,0.000000
search_position=dental assistant,0.000000
search_position=dermatologist,0.000000
search_position=detailer,0.000000
search_position=developer,0.000000
search_position=director athletic,0.000000
search_position=director education,0.000000
search_position=director media marketing,0.000000
search_position=director nursing service,0.000000
search_position=director technical,0.000000
search_position=distribution supervisor,0.000000
search_position=dock hand,0.000000
search_position=documentation supervisor,0.000000
search_position=drafter architectural,0.000000
search_position=drafter detail,0.000000
search_position=driver supervisor,0.000000
search_position=economist,0.000000
search_position=editorial assistant,0.000000
search_position=educational resource coordinator,0.000000
search_position=educational specialist,0.000000
search_position=electrical-research engineer,0.000000
search_position=electrician,0.000000
search_position=electrician supervisor,0.000000
search_position=electronics-test engineer,0.000000
search_position=elevator constructor,0.000000
search_position=emergency medical services coordinator,0.000000
search_position=emergency medical technician,0.000000
search_position=employee relations specialist,0.000000
search_position=engine-testing supervisor,0.000000
search_position=engineer of system development,0.000000
search_position=equal-opportunity representative,0.000000
search_position=escort,0.000000
search_position=excavator,0.000000
search_position=extra,0.000000
search_position=field contractor,0.000000
search_position=field representative,0.000000
search_position=field service technician,0.000000
search_position=field-contact technician,0.000000
search_position=file clerk ii,0.000000
search_position=financial planner,0.000000
search_position=finisher,0.000000
search_position=fire inspector,0.000000
search_position=fire-protection engineering technician,0.000000
search_position=foreign-student adviser,0.000000
search_position=forest ecologist,0.000000
search_position=gas inspector,0.000000
search_position=general-ledger bookkeeper,0.000000
search_position=geologist,0.000000
search_position=geophysicist,0.000000
search_position=glass cutter,0.000000
search_position=grading clerk,0.000000
search_position=guard security,0.000000
search_position=guide,0.000000
search_position=guide establishment,0.000000
search_position=guide travel,0.000000
search_position=gynecologist,0.000000
search_position=hands assembler,0.000000
search_position=headwaiter/headwaitress,0.000000
search_position=health officer field,0.000000
search_position=home economist,0.000000
search_position=horse trainer,0.000000
search_position=host/hostess,0.000000
search_position=human resource advisor,0.000000
search_position=hydraulic engineer,0.000000
search_position=identification clerk,0.000000
search_position=infantry unit leader,0.000000
search_position=information scientist,0.000000
search_position=inspector,0.000000
search_position=instructor extension work,0.000000
search_position=investigator,0.000000
search_position=investment analyst,0.000000
search_position=kitchen supervisor,0.000000
search_position=laboratory supervisor,0.000000
search_position=laboratory technician,0.000000
search_position=landscape architect,0.000000
search_position=lead former,0.000000
search_position=leader tier,0.000000
search_position=legal secretary,0.000000
search_position=light technician,0.000000
search_position=locker-room attendant,0.000000
search_position=logistics engineer,0.000000
search_position=maintenance data analyst,0.000000
search_position=management analyst,0.000000
search_position=manager advertising agency,0.000000
search_position=manager department,0.000000
search_position=manager display,0.000000
search_position=manager education and training,0.000000
search_position=manager forms analysis,0.000000
search_position=manager records analysis,0.000000
search_position=manager reports analysis,0.000000
search_position=manager stage,0.000000
search_position=manicurist,0.000000
search_position=manufacturer's representative,0.000000
search_position=manufacturer's service representative,0.000000
search_position=manufacturing engineer,0.000000
search_position=material coordinator,0.000000
search_position=material scheduler,0.000000
search_position=material-handling supervisor,0.000000
search_position=mechanical engineer,0.000000
search_position=mechanical research engineer,0.000000
search_position=mechanical-engineering technician,0.000000
search_position=mechanical-maintenance supervisor,0.000000
search_position=medical technologist,0.000000
search_position=merchandise distributor,0.000000
search_position=microbiologist,0.000000
search_position=mill operator,0.000000
search_position=model artists',0.000000
search_position=molding supervisor,0.000000
search_position=night auditor,0.000000
search_position=nuclear medicine technologist,0.000000
search_position=nurse assistant,0.000000
search_position=nurse staff occupational health nursing,0.000000
search_position=nurse supervisor evening-or-night,0.000000
search_position=occupational therapy assistant,0.000000
search_position=occupational-safety-and-health inspector,0.000000
search_position=operating engineer,0.000000
search_position=ophthalmologist,0.000000
search_position=orderly,0.000000
search_position=orthodontist,0.000000
search_position=orthopedic assistant,0.000000
search_position=packaging supervisor,0.000000
search_position=paralegal,0.000000
search_position=paramedic,0.000000
search_position=park aide,0.000000
search_position=part maker,0.000000
search_position=pattern-shop supervisor,0.000000
search_position=payroll clerk,0.000000
search_position=personal shopper,0.000000
search_position=personnel scheduler,0.000000
search_position=petroleum inspector,0.000000
search_position=physician assistant,0.000000
search_position=pollution-control engineer,0.000000
search_position=post-office clerk,0.000000
search_position=power-transmission engineer,0.000000
search_position=preparer,0.000000
search_position=press supervisor,0.000000
search_position=principal,0.000000
search_position=printer,0.000000
search_position=production engineer,0.000000
search_position=program assistant,0.000000
search_position=programmer-analyst,0.000000
search_position=progress clerk,0.000000
search_position=project engineer,0.000000
search_position=property coordinator,0.000000
search_position=protection engineer,0.000000
search_position=psychologist educational,0.000000
search_position=psychologist school,0.000000
search_position=public-relations representative,0.000000
search_position=radiologist,0.000000
search_position=range manager,0.000000
search_position=real-estate clerk,0.000000
search_position=recreation-facility attendant,0.000000
search_position=registered representative,0.000000
search_position=registrar,0.000000
search_position=registration clerk,0.000000
search_position=regulatory administrator,0.000000
search_position=research subject,0.000000
search_position=reviewer,0.000000
search_position=rolling-mill operator,0.000000
search_position=routing clerk,0.000000
search_position=safety coordinator,0.000000
search_position=safety engineer,0.000000
search_position=safety manager,0.000000
search_position=sales attendant,0.000000
search_position=sales-service promoter,0.000000
search_position=scheduler,0.000000
search_position=secretary,0.000000
search_position=service clerk,0.000000
search_position=service supervisor ii,0.000000
search_position=settlement clerk,0.000000
search_position=shop supervisor,0.000000
search_position=speech pathologist,0.000000
search_position=standards engineer,0.000000
search_position=starter,0.000000
search_position=stock supervisor,0.000000
search_position=substance abuse counselor,0.000000
search_position=superintendent track,0.000000
search_position=supervisor accounts receivable,0.000000
search_position=supervisor agency appointments,0.000000
search_position=supervisor aircraft maintenance,0.000000
search_position=supervisor area,0.000000
search_position=supervisor bonding,0.000000
search_position=supervisor chemical,0.000000
search_position=supervisor claims,0.000000
search_position=supervisor cleaning,0.000000
search_position=supervisor customer services,0.000000
search_position=supervisor cutting department,0.000000
search_position=supervisor education,0.000000
search_position=supervisor fabrication,0.000000
search_position=supervisor files,0.000000
search_position=supervisor identification and communications,0.000000
search_position=supervisor inspection,0.000000
search_position=supervisor lending activities,0.000000
search_position=supervisor maintenance,0.000000
search_position=supervisor mapping,0.000000
search_position=supervisor model making,0.000000
search_position=supervisor operations,0.000000
search_position=supervisor pipelines,0.000000
search_position=supervisor print line,0.000000
search_position=supervisor production,0.000000
search_position=supervisor sample,0.000000
search_position=supervisor telephone information,0.000000
search_position=supervisor tower,0.000000
search_position=supervisor trust accounts,0.000000
search_position=supervisor v,0.000000
search_position=supervisor vendor quality,0.000000
search_position=survival specialist,0.000000
search_position=systems analyst,0.000000
search_position=tax clerk,0.000000
search_position=teacher music,0.000000
search_position=technical coordinator,0.000000
search_position=technician plant and maintenance,0.000000
search_position=telephone-answering-service operator,0.000000
search_position=teller,0.000000
search_position=title supervisor,0.000000
search_position=tool designer,0.000000
search_position=tool grinder i,0.000000
search_position=tool grinder ii,0.000000
search_position=tool planner,0.000000
search_position=top former,0.000000
search_position=track supervisor,0.000000
search_position=train clerk,0.000000
search_position=training representative,0.000000
search_position=training technician,0.000000
search_position=travel agent,0.000000
search_position=tumor registrar,0.000000
search_position=turner,0.000000
search_position=ultrasound technologist,0.000000
search_position=underwriting clerk,0.000000
search_position=user support analyst,0.000000
search_position=utilization engineer,0.000000
search_position=value engineer,0.000000
search_position=veterinarian,0.000000
search_position=veterinary technician,0.000000
search_position=warehouse supervisor,0.000000
search_position=warm-in worker,0.000000
search_position=weed inspector,0.000000
search_position=welding engineer,0.000000
search_position=abstractor,0.000000
search_position=account executive,0.000000
search_position=accountant cost,0.000000
search_position=acrobat,0.000000
search_position=actor,0.000000
search_position=acupuncturist,0.000000
search_position=aeronautical-design engineer,0.000000
search_position=airframe-and-power-plant mechanic,0.000000
search_position=anesthesiologist,0.000000
search_position=animal scientist,0.000000
search_position=appeals referee,0.000000
search_position=arbitrator,0.000000
search_position=art director,0.000000
search_position=assembler,0.000000
search_position=assembly inspector,0.000000
search_position=assembly supervisor,0.000000
search_position=assembly-line inspector,0.000000
search_position=assignment editor,0.000000
search_position=assistant designer,0.000000
search_position=athletic trainer,0.000000
search_position=audiologist,0.000000
search_position=audiovisual librarian,0.000000
search_position=audiovisual technician,0.000000
search_position=auditor data processing,0.000000
search_position=automobile detailer,0.000000
search_position=auxiliary-equipment operator,0.000000
search_position=baker,0.000000
search_position=baker apprentice,0.000000
search_position=bakery supervisor,0.000000
search_position=bar attendant,0.000000
search_position=barge captain,0.000000
search_position=bed operator,0.000000
search_position=bench carpenter,0.000000
search_position=bindery worker,0.000000
search_position=biochemist,0.000000
search_position=biologist,0.000000
search_position=biomedical engineer,0.000000
search_position=boiler,0.000000
search_position=booking supervisor,0.000000
search_position=bookmobile librarian,0.000000
search_position=bouncer,0.000000
search_position=breaker,0.000000
search_position=bridge inspector,0.000000
search_position=building cleaner,0.000000
search_position=building-insulation supervisor,0.000000
search_position=bus driver,0.000000
search_position=bus inspector,0.000000
search_position=cable television installer,0.000000
search_position=call-out operator,0.000000
search_position=caller,0.000000
search_position=caretaker,0.000000
search_position=carpenter maintenance,0.000000
search_position=cartoonist,0.000000
search_position=cashier ii,0.000000
search_position=central-office installer,0.000000
search_position=check cashier,0.000000
search_position=check writer,0.000000
search_position=checker,0.000000
search_position=chef,0.000000
search_position=chemist instrumentation,0.000000
search_position=chief bank examiner,0.000000
search_position=chief engineer,0.000000
search_position=chief engineer research,0.000000
search_position=circulation-sales representative,0.000000
search_position=civil-service clerk,0.000000
search_position=claim adjuster,0.000000
search_position=cleaner commercial or institutional,0.000000
search_position=cleaner housekeeping,0.000000
search_position=clerk general,0.000000
search_position=collection clerk,0.000000
search_position=collector,0.000000
search_position=color developer,0.000000
search_position=color expert,0.000000
search_position=color maker,0.000000
search_position=communications consultant,0.000000
search_position=communications coordinator,0.000000
search_position=complaint evaluation supervisor,0.000000
search_position=computer programmer,0.000000
search_position=computer security coordinator,0.000000
search_position=computer security specialist,0.000000
search_position=construction-equipment mechanic,0.000000
search_position=contestant coordinator,0.000000
search_position=continuity writer,0.000000
search_position=control operator,0.000000
search_position=cook fast food,0.000000
search_position=copy holder,0.000000
search_position=core loader,0.000000
search_position=correction officer,0.000000
search_position=costumer,0.000000
search_position=counselor marriage and family,0.000000
search_position=credit analyst,0.000000
search_position=crusher supervisor,0.000000
search_position=customer service representative,0.000000
search_position=customer services coordinator,0.000000
search_position=customer-facilities supervisor,0.000000
search_position=cutter,0.000000
search_position=cutting supervisor,0.000000
search_position=dancer,0.000000
search_position=data base administrator,0.000000
search_position=data communications technician,0.000000
search_position=day worker,0.000000
search_position=dean of students,0.000000
search_position=deck engineer,0.000000
search_position=demonstrator,0.000000
search_position=dental hygienist,0.000000
search_position=dentist,0.000000
search_position=deposit clerk,0.000000
search_position=dialysis technician,0.000000
search_position=dietitian clinical,0.000000
search_position=dining room attendant,0.000000
search_position=director extension work,0.000000
search_position=director fundraising,0.000000
search_position=director industrial relations,0.000000
search_position=director of admissions,0.000000
search_position=director of religious activities,0.000000
search_position=director radio,0.000000
search_position=director social,0.000000
search_position=director special education,0.000000
search_position=director television,0.000000
search_position=dispatcher maintenance service,0.000000
search_position=dispatcher security guard,0.000000
search_position=dispatcher service or work,0.000000
search_position=display maker,0.000000
search_position=distribution-accounting clerk,0.000000
search_position=dock supervisor,0.000000
search_position=documentation engineer,0.000000
search_position=documentation-billing clerk,0.000000
search_position=drafter commercial,0.000000
search_position=drill-press operator,0.000000
search_position=driver,0.000000
search_position=driver-utility worker,0.000000
search_position=drummer,0.000000
search_position=electrical engineer power system,0.000000
search_position=electrical supervisor,0.000000
search_position=electrical test engineer,0.000000
search_position=electrical-design engineer,0.000000
search_position=electrician helper,0.000000
search_position=electrician supervisor substation,0.000000
search_position=electro-optical engineer,0.000000
search_position=electronics technician,0.000000
search_position=electronics-design engineer,0.000000
search_position=endodontist,0.000000
search_position=engineering-document-control clerk,0.000000
search_position=entomologist,0.000000
search_position=equal opportunity officer,0.000000
search_position=evaluator,0.000000
search_position=examiner,0.000000
search_position=exercise physiologist,0.000000
search_position=exhibit designer,0.000000
search_position=experimental mechanic electrical,0.000000
search_position=extension clerk,0.000000
search_position=facilities planner,0.000000
search_position=faculty member college or university,0.000000
search_position=family practitioner,0.000000
search_position=fashion designer,0.000000
search_position=feed-in worker,0.000000
search_position=feeder,0.000000
search_position=field service engineer,0.000000
search_position=field-service representative,0.000000
search_position=film loader,0.000000
search_position=finishing inspector,0.000000
search_position=fire-protection engineer,0.000000
search_position=fitter i,0.000000
search_position=forest engineer,0.000000
search_position=form builder,0.000000
search_position=furniture designer,0.000000
search_position=gate agent,0.000000
search_position=gate guard,0.000000
search_position=genealogist,0.000000
search_position=general helper,0.000000
search_position=general practitioner,0.000000
search_position=goodwill ambassador,0.000000
search_position=grant coordinator,0.000000
search_position=graphic designer,0.000000
search_position=group-sales representative,0.000000
search_position=guide plant,0.000000
search_position=hair stylist,0.000000
search_position=handle maker,0.000000
search_position=handler,0.000000
search_position=hazardous-waste management specialist,0.000000
search_position=head coach,0.000000
search_position=health physicist,0.000000
search_position=hearing officer,0.000000
search_position=heat-treat supervisor,0.000000
search_position=historic-site administrator,0.000000
search_position=home attendant,0.000000
search_position=homemaker,0.000000
search_position=hotel clerk,0.000000
search_position=house worker general,0.000000
search_position=housecleaner,0.000000
search_position=housekeeper home,0.000000
search_position=identification officer,0.000000
search_position=illustrator,0.000000
search_position=industrial designer,0.000000
search_position=industrial engineer,0.000000
search_position=inspection supervisor ii,0.000000
search_position=inspector building,0.000000
search_position=inspector electrical,0.000000
search_position=instructor,0.000000
search_position=instructor driving,0.000000
search_position=instrument mechanic,0.000000
search_position=instrumentation technician,0.000000
search_position=insurance attorney,0.000000
search_position=insurance clerk,0.000000
search_position=interior designer,0.000000
search_position=internist,0.000000
search_position=inventory clerk,0.000000
search_position=irrigation engineer,0.000000
search_position=janitor,0.000000
search_position=jeweler,0.000000
search_position=job printer,0.000000
search_position=kitchen clerk,0.000000
search_position=laboratory assistant,0.000000
search_position=laboratory manager,0.000000
search_position=lathe operator,0.000000
search_position=laundry clerk,0.000000
search_position=lawyer criminal,0.000000
search_position=lawyer probate,0.000000
search_position=layer,0.000000
search_position=lead operator,0.000000
search_position=librarian,0.000000
search_position=lifeguard,0.000000
search_position=load-out supervisor,0.000000
search_position=loader,0.000000
search_position=loading-machine tool-setter,0.000000
search_position=locksmith,0.000000
search_position=locomotive engineer,0.000000
search_position=lot attendant,0.000000
search_position=machine builder,0.000000
search_position=machine operator general,0.000000
search_position=machinist apprentice,0.000000
search_position=magician,0.000000
search_position=mail clerk,0.000000
search_position=maintenance mechanic,0.000000
search_position=maintenance supervisor,0.000000
search_position=make-up operator,0.000000
search_position=making-line worker,0.000000
search_position=manager advertising,0.000000
search_position=manager benefits,0.000000
search_position=manager employment,0.000000
search_position=manager labor relations,0.000000
search_position=manager pool,0.000000
search_position=manager procurement services,0.000000
search_position=manager reservations,0.000000
search_position=marine engineer,0.000000
search_position=material expediter,0.000000
search_position=material handler,0.000000
search_position=meat clerk,0.000000
search_position=mechanical inspector,0.000000
search_position=mechanical-design engineer facilities,0.000000
search_position=mechanical-design engineer products,0.000000
search_position=medical physicist,0.000000
search_position=medical radiation dosimetrist,0.000000
search_position=medical secretary,0.000000
search_position=medical-laboratory technician,0.000000
search_position=medical-record clerk,0.000000
search_position=medical-service technician,0.000000
search_position=membership solicitor,0.000000
search_position=meter reader,0.000000
search_position=microelectronics technician,0.000000
search_position=mill supervisor,0.000000
search_position=miller,0.000000
search_position=miller supervisor,0.000000
search_position=millwright apprentice,0.000000
search_position=mixer,0.000000
search_position=model,0.000000
search_position=modeler,0.000000
search_position=mortgage-accounting clerk,0.000000
search_position=music librarian,0.000000
search_position=music therapist,0.000000
search_position=nuclear engineer,0.000000
search_position=nurse infection control,0.000000
search_position=nurse instructor,0.000000
search_position=nurse licensed practical,0.000000
search_position=nurse school,0.000000
search_position=nurse supervisor,0.000000
search_position=nurse-midwife,0.000000
search_position=occupational analyst,0.000000
search_position=occupational therapist,0.000000
search_position=occupational therapy aide,0.000000
search_position=operations and intelligence assistant,0.000000
search_position=operations-research analyst,0.000000
search_position=optician apprentice,0.000000
search_position=optometrist,0.000000
search_position=oral and maxillofacial surgeon,0.000000
search_position=outside-plant engineer,0.000000
search_position=overhead crane operator,0.000000
search_position=packager head,0.000000
search_position=packer,0.000000
search_position=paint mixer machine,0.000000
search_position=paint-line operator,0.000000
search_position=painter,0.000000
search_position=panel installer,0.000000
search_position=parts clerk,0.000000
search_position=pattern hand,0.000000
search_position=perfusionist,0.000000
search_position=personnel recruiter,0.000000
search_position=pharmacist,0.000000
search_position=pharmacy technician,0.000000
search_position=photographer,0.000000
search_position=photographic engineer,0.000000
search_position=physical therapist,0.000000
search_position=physical-integration practitioner,0.000000
search_position=physician occupational,0.000000
search_position=pipe fitter,0.000000
search_position=planetarium technician,0.000000
search_position=plant operator,0.000000
search_position=plumber,0.000000
search_position=plumber supervisor,0.000000
search_position=podiatrist,0.000000
search_position=police surgeon,0.000000
search_position=pollution-control technician,0.000000
search_position=porter,0.000000
search_position=power-distribution engineer,0.000000
search_position=preparation supervisor,0.000000
search_position=press hand,0.000000
search_position=pressure controller,0.000000
search_position=pressure supervisor,0.000000
search_position=prize coordinator,0.000000
search_position=process server,0.000000
search_position=procurement engineer,0.000000
search_position=producer,0.000000
search_position=production coordinator,0.000000
search_position=production engineer track,0.000000
search_position=production planner,0.000000
search_position=programmer engineering and scientific,0.000000
search_position=psychiatric technician,0.000000
search_position=psychiatrist,0.000000
search_position=psychic reader,0.000000
search_position=psychologist counseling,0.000000
search_position=psychologist developmental,0.000000
search_position=psychologist social,0.000000
search_position=psychometrist,0.000000
search_position=public health educator,0.000000
search_position=public health physician,0.000000
search_position=public-safety officer,0.000000
search_position=quality assurance coordinator,0.000000
search_position=quality-control checker,0.000000
search_position=reclamation supervisor,0.000000
search_position=record clerk,0.000000
search_position=refrigeration mechanic,0.000000
search_position=rehabilitation clerk,0.000000
search_position=relay technician,0.000000
search_position=reporter,0.000000
search_position=reports analyst,0.000000
search_position=research associate,0.000000
search_position=research mechanic,0.000000
search_position=research-contracts supervisor,0.000000
search_position=reserves clerk,0.000000
search_position=respiratory therapist,0.000000
search_position=roll operator,0.000000
search_position=route supervisor,0.000000
search_position=safety inspector,0.000000
search_position=sales agent business services,0.000000
search_position=sales agent financial-report service,0.000000
search_position=sales agent insurance,0.000000
search_position=sales clerk,0.000000
search_position=sales representative advertising,0.000000
search_position=sales representative financial services,0.000000
search_position=sales representative food products,0.000000
search_position=sales-promotion representative,0.000000
search_position=salesperson parts,0.000000
search_position=salesperson shoes,0.000000
search_position=sample-room supervisor,0.000000
search_position=scientific glass blower,0.000000
search_position=scout,0.000000
search_position=secretary of police,0.000000
search_position=section supervisor,0.000000
search_position=securities trader,0.000000
search_position=service mechanic,0.000000
search_position=service observer,0.000000
search_position=service representative,0.000000
search_position=service supervisor i,0.000000
search_position=services clerk,0.000000
search_position=set-staff fitter,0.000000
search_position=set-up worker,0.000000
search_position=shipping-and-receiving supervisor,0.000000
search_position=shop estimator,0.000000
search_position=shop tailor,0.000000
search_position=shuttle hand,0.000000
search_position=soil scientist,0.000000
search_position=solutions operator,0.000000
search_position=space scheduler,0.000000
search_position=specification writer,0.000000
search_position=stained glass artist,0.000000
search_position=statement clerk,0.000000
search_position=stationary engineer,0.000000
search_position=still operator,0.000000
search_position=stock fitter,0.000000
search_position=stock-control supervisor,0.000000
search_position=stress analyst,0.000000
search_position=structural engineer,0.000000
search_position=superintendent sales,0.000000
search_position=supervisor cab,0.000000
search_position=supervisor channel process,0.000000
search_position=supervisor coating,0.000000
search_position=supervisor coffee,0.000000
search_position=supervisor customer-complaint service,0.000000
search_position=supervisor dock,0.000000
search_position=supervisor drawing,0.000000
search_position=supervisor fitting,0.000000
search_position=supervisor grading,0.000000
search_position=supervisor i,0.000000
search_position=supervisor ii,0.000000
search_position=supervisor inspecting,0.000000
search_position=supervisor inspection and testing,0.000000
search_position=supervisor instrument maintenance,0.000000
search_position=supervisor laboratory,0.000000
search_position=supervisor landscape,0.000000
search_position=supervisor laundry,0.000000
search_position=supervisor line department,0.000000
search_position=supervisor logging,0.000000
search_position=supervisor mails,0.000000
search_position=supervisor matrix,0.000000
search_position=supervisor net making,0.000000
search_position=supervisor pipeline maintenance,0.000000
search_position=supervisor plastics,0.000000
search_position=supervisor processing,0.000000
search_position=supervisor properties,0.000000
search_position=supervisor quality control,0.000000
search_position=supervisor rides,0.000000
search_position=supervisor sheet manufacturing,0.000000
search_position=supervisor shop,0.000000
search_position=supervisor type photography,0.000000
search_position=supervisor yard,0.000000
search_position=supply controller,0.000000
search_position=surgical technician,0.000000
search_position=survey worker,0.000000
search_position=surveyor helper,0.000000
search_position=switchboard operator,0.000000
search_position=systems programmer,0.000000
search_position=table worker,0.000000
search_position=tank-truck driver,0.000000
search_position=tanker,0.000000
search_position=taxi driver,0.000000
search_position=teacher hearing impaired,0.000000
search_position=teacher kindergarten,0.000000
search_position=teacher learning disabled,0.000000
search_position=teacher preschool,0.000000
search_position=teacher resource,0.000000
search_position=technical support specialist,0.000000
search_position=test worker,0.000000
